symbol,hypothesis_id,session_date,timestamp,diagnostic,sweep_depth_ticks,scenario,equity_before_session,direction,actual_quantity
QQQ,HYP-FCR-03,2024-05-21,2024-05-21T14:10:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,823.9685048800497,,
QQQ,HYP-FCR-03,2024-06-06,2024-06-06T14:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,818.67954488005,,
QQQ,HYP-FCR-03,2024-06-06,2024-06-06T18:15:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.9900000000016007,severe,818.67954488005,,
QQQ,HYP-FCR-03,2024-07-15,2024-07-15T14:00:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,812.921515550051,,
QQQ,HYP-FCR-03,2024-07-23,2024-07-23T14:45:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,815.7231460500512,,
QQQ,HYP-FCR-03,2024-11-08,2024-11-08T15:35:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,786.7790309000545,,
QQQ,HYP-FCR-03,2024-11-08,2024-11-08T15:40:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,severe,786.7790309000545,,
QQQ,HYP-FCR-03,2024-12-17,2024-12-17T16:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,770.6598725100555,,
SPY,HYP-FCR-03,2022-01-19,2022-01-19T17:25:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,992.1554580000003,,
SPY,HYP-FCR-03,2022-02-18,2022-02-18T15:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1018.0374508800007,,
SPY,HYP-FCR-03,2022-04-12,2022-04-12T14:55:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1041.167989220001,,
SPY,HYP-FCR-03,2022-04-14,2022-04-14T15:30:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1038.500794220001,,
SPY,HYP-FCR-03,2022-04-25,2022-04-25T14:20:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1043.4072162200007,,
SPY,HYP-FCR-03,2022-05-09,2022-05-09T16:15:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1042.3248623200006,,
SPY,HYP-FCR-03,2022-05-10,2022-05-10T18:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,baseline,1039.5644183200006,,
SPY,HYP-FCR-03,2022-06-17,2022-06-17T15:35:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1031.5012871800013,,
SPY,HYP-FCR-03,2022-07-19,2022-07-19T14:05:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1029.6309327400013,,
SPY,HYP-FCR-03,2022-08-08,2022-08-08T14:00:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1012.0648500400017,,
SPY,HYP-FCR-03,2022-08-11,2022-08-11T16:55:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1011.6923700800019,,
SPY,HYP-FCR-03,2022-09-16,2022-09-16T15:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,995.2601365800022,,
SPY,HYP-FCR-03,2022-09-23,2022-09-23T14:45:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,985.4945886000024,,
SPY,HYP-FCR-03,2022-11-02,2022-11-02T15:25:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.5000000000052296,baseline,1007.1517324200038,,
SPY,HYP-FCR-03,2022-11-16,2022-11-16T17:20:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.9100000000046293,baseline,1010.0516005200043,,
SPY,HYP-FCR-03,2022-11-25,2022-11-25T16:25:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1000.0710573800045,,
