hypothesis_id,symbol,session_date,sweep_timestamp,confirmation_timestamp,executable_timestamp,direction_orientation,swept_side,year,executable_timestamp_hour_bucket,horizon,executable_price_reference,event_return,future_close,maximum_favorable_excursion,maximum_adverse_excursion,bars_in_path,baseline_cost_return,stress_cost_return,event_return_after_baseline_cost,event_return_after_stress_cost,unconditional_return,unconditional_sample_count,incremental_return
HYP-OR-CONT-EVENT-01,QQQ,2024-10-10,2024-10-10T14:00:00+00:00,2024-10-10T14:20:00+00:00,2024-10-10T14:20:00+00:00,continuation_long,high,2024,10:00,15min,491.87,-0.0006099172545591669,491.57,0.0007319007054709115,-0.0017890906133734008,4,0.00024066115030394212,0.00048132230060788424,-0.000850578404863109,-0.0010912395551670511,-1.645775283912026e-05,3024,-0.0005934595017200467
HYP-OR-CONT-EVENT-01,QQQ,2024-10-10,2024-10-10T14:00:00+00:00,2024-10-10T14:20:00+00:00,2024-10-10T14:20:00+00:00,continuation_long,high,2024,10:00,60min,491.87,0.0012198345091183338,492.47,0.0015654542867016286,-0.0017890906133734008,13,0.00024066115030394212,0.00048132230060788424,0.0009791733588143917,0.0007385122085104496,1.3990141093417914e-05,3024,0.0012058443680249159
HYP-OR-CONT-EVENT-01,QQQ,2024-10-10,2024-10-10T14:00:00+00:00,2024-10-10T14:20:00+00:00,2024-10-10T14:20:00+00:00,continuation_long,high,2024,10:00,session_close,491.87,0.0014841319860938729,492.6,0.005285949539512558,-0.0017890906133734008,68,0.00024066115030394212,0.00048132230060788424,0.0012434708357899307,0.0010028096854859886,0.10520893768050853,3024,-0.10372480569441465
HYP-OR-CONT-EVENT-01,QQQ,2024-10-11,2024-10-11T14:00:00+00:00,2024-10-11T14:20:00+00:00,2024-10-11T14:20:00+00:00,continuation_long,high,2024,10:00,30min,493.34,-0.0017026796935175614,492.5,0.0015405197227065237,-0.002858069485547454,7,0.00024053999270280132,0.00048107998540560264,-0.0019432196862203628,-0.002183759678923164,-8.784715465694218e-06,3024,-0.0016938949780518672
HYP-OR-CONT-EVENT-01,QQQ,2024-10-11,2024-10-11T14:00:00+00:00,2024-10-11T14:20:00+00:00,2024-10-11T14:20:00+00:00,continuation_long,high,2024,10:00,15min,493.34,0.000993229821218744,493.83,0.0015405197227065237,-0.0008918798394615957,4,0.00024053999270280132,0.00048107998540560264,0.0007526898285159427,0.0005121498358131414,-1.645775283912026e-05,3024,0.0010096875740578644
HYP-OR-CONT-EVENT-01,QQQ,2024-10-11,2024-10-11T14:00:00+00:00,2024-10-11T14:20:00+00:00,2024-10-11T14:20:00+00:00,continuation_long,high,2024,10:00,60min,493.34,-0.00164186970446345,492.53,0.0015405197227065237,-0.002858069485547454,13,0.00024053999270280132,0.00048107998540560264,-0.0018824096971662514,-0.002122949689869053,1.3990141093417914e-05,3024,-0.001655859845556868
HYP-OR-CONT-EVENT-01,QQQ,2024-10-11,2024-10-11T14:00:00+00:00,2024-10-11T14:20:00+00:00,2024-10-11T14:20:00+00:00,continuation_long,high,2024,10:00,session_close,493.34,0.0,493.34,0.0021283496168971183,-0.002858069485547454,68,0.00024053999270280132,0.00048107998540560264,-0.00024053999270280132,-0.00048107998540560264,0.10520893768050853,3024,-0.10520893768050853
HYP-OR-CONT-EVENT-01,QQQ,2024-10-14,2024-10-14T15:00:00+00:00,2024-10-14T15:20:00+00:00,2024-10-14T15:20:00+00:00,continuation_short,low,2024,11:00,30min,496.29,-0.0005238872433455111,496.55,0.002079715704882412,0.0008053312931606271,7,0.0002402990187188942,0.0004805980374377884,-0.0007641862620644053,-0.0010044852807832994,-6.780196379662428e-05,3024,-0.0004560852795488868
HYP-OR-CONT-EVENT-01,QQQ,2024-10-14,2024-10-14T15:00:00+00:00,2024-10-14T15:20:00+00:00,2024-10-14T15:20:00+00:00,continuation_short,low,2024,11:00,15min,496.29,0.0005639847669709486,496.0101,0.002079715704882412,0.0008053312931606271,4,0.0002402990187188942,0.0004805980374377884,0.0003236857482520544,8.338672953316019e-05,-5.26132053694773e-05,3024,0.0006165979723404258
HYP-OR-CONT-EVENT-01,QQQ,2024-10-14,2024-10-14T15:00:00+00:00,2024-10-14T15:20:00+00:00,2024-10-14T15:20:00+00:00,continuation_short,low,2024,11:00,60min,496.29,-0.00173285780491228,497.15,0.002079715704882412,0.0017900961422422368,13,0.0002402990187188942,0.0004805980374377884,-0.0019731568236311743,-0.0022134558423500686,-7.464386680817631e-05,3024,-0.0016582139381041037
HYP-OR-CONT-EVENT-01,QQQ,2024-10-14,2024-10-14T15:00:00+00:00,2024-10-14T15:20:00+00:00,2024-10-14T15:20:00+00:00,continuation_short,low,2024,11:00,session_close,496.29,-0.0024380906324930063,497.5,0.002079715704882412,0.004613008684490216,56,0.0002402990187188942,0.0004805980374377884,-0.0026783896512119006,-0.002918688669930795,-0.10521709285604981,3024,0.1027790022235568
HYP-OR-CONT-EVENT-01,QQQ,2024-10-15,2024-10-15T14:10:00+00:00,2024-10-15T14:30:00+00:00,2024-10-15T14:30:00+00:00,continuation_short,low,2024,10:00,30min,494.94,0.0054956156301773085,492.22,0.008928571428571397,2.0204061016215746e-05,7,0.00024040893845718675,0.0004808178769143735,0.005255206691720121,0.005014797753262935,8.784715465694218e-06,3024,0.0054868309147116144
HYP-OR-CONT-EVENT-01,QQQ,2024-10-15,2024-10-15T14:10:00+00:00,2024-10-15T14:30:00+00:00,2024-10-15T14:30:00+00:00,continuation_short,low,2024,10:00,15min,494.94,0.0051723441225198785,492.38,0.008928571428571397,2.0204061016215746e-05,4,0.00024040893845718675,0.0004808178769143735,0.0049319351840626914,0.004691526245605505,1.645775283912026e-05,3024,0.005155886369680758
HYP-OR-CONT-EVENT-01,QQQ,2024-10-15,2024-10-15T14:10:00+00:00,2024-10-15T14:30:00+00:00,2024-10-15T14:30:00+00:00,continuation_short,low,2024,10:00,60min,494.94,0.0038792580918899366,493.02,0.008928571428571397,2.0204061016215746e-05,13,0.00024040893845718675,0.0004808178769143735,0.00363884915343275,0.0033984402149755634,-1.3990141093417914e-05,3024,0.0038932482329833546
HYP-OR-CONT-EVENT-01,QQQ,2024-10-15,2024-10-15T14:10:00+00:00,2024-10-15T14:30:00+00:00,2024-10-15T14:30:00+00:00,continuation_short,low,2024,10:00,session_close,494.94,0.008405059199094844,490.78,0.012810018826225678,2.0204061016215746e-05,66,0.00024040893845718675,0.0004808178769143735,0.008164650260637658,0.00792424132218047,-0.10520893768050853,3024,0.11361399687960337
HYP-OR-CONT-EVENT-01,QQQ,2024-10-16,2024-10-16T18:20:00+00:00,2024-10-16T18:40:00+00:00,2024-10-16T18:40:00+00:00,continuation_long,high,2024,14:00,30min,491.18,0.00010179567571966253,491.23,0.0006311331894621741,-0.00027484832444313323,7,0.0002407182702878782,0.0004814365405757564,-0.00013892259456821566,-0.00037964086485609385,-6.347026143619282e-05,2988,0.00016526593715585536
HYP-OR-CONT-EVENT-01,QQQ,2024-10-16,2024-10-16T18:20:00+00:00,2024-10-16T18:40:00+00:00,2024-10-16T18:40:00+00:00,continuation_long,high,2024,14:00,15min,491.18,0.00016287308115137122,491.26,0.0006311331894621741,-0.00016287308115148225,4,0.0002407182702878782,0.0004814365405757564,-7.784518913650696e-05,-0.00031856345942438515,-5.7768986865205636e-05,2988,0.00022064206801657686
HYP-OR-CONT-EVENT-01,QQQ,2024-10-16,2024-10-16T18:20:00+00:00,2024-10-16T18:40:00+00:00,2024-10-16T18:40:00+00:00,continuation_long,high,2024,14:00,60min,491.18,-0.0006718514597499059,490.85,0.0006311331894621741,-0.0009670589193371271,13,0.0002407182702878782,0.0004814365405757564,-0.0009125697300377841,-0.0011532880003256624,-0.00014137739766810308,2988,-0.0005304740620818028
HYP-OR-CONT-EVENT-01,QQQ,2024-10-16,2024-10-16T18:20:00+00:00,2024-10-16T18:40:00+00:00,2024-10-16T18:40:00+00:00,continuation_long,high,2024,14:00,session_close,491.18,-0.0005089783785984237,490.93,0.0006311331894621741,-0.0012419072437802603,16,0.0002407182702878782,0.0004814365405757564,-0.0007496966488863019,-0.0009904149191741801,0.10624498196257118,2988,-0.1067539603411696
HYP-OR-CONT-EVENT-01,QQQ,2024-10-17,2024-10-17T14:00:00+00:00,2024-10-17T14:20:00+00:00,2024-10-17T14:20:00+00:00,continuation_short,low,2024,10:00,30min,492.96,0.0010913664394676115,492.422,0.0023790642347343294,0.0017617398699957265,7,0.00024057124310288867,0.00048114248620577735,0.0008507951963647228,0.0006102239532618341,8.784715465694218e-06,3024,0.0010825817240019172
