event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-02,15min,SPY,long_reversal,2023,180,180,177,180,8.735441358465142e-05,0.0001121252214473,0.001557767585259211,0.5310734463276836,-8.735441358465142e-05,-0.0001121252214473,0.0012402375190364479,0.0009733453129678,-0.0012328365827328767,-0.0008729292488297,-0.00013540535054557375,0.0003135882462448789,session_date,17
EVENT-02,15min,SPY,long_reversal,2024,183,183,182,183,-3.95579733432163e-05,0.0001451112232434,0.0013440422161083013,0.554945054945055,3.95579733432163e-05,-0.0001451112232434,0.0009511381235741018,0.00074628191711405,-0.001124475159082727,-0.00079865695230855,-0.00023337206275081184,0.00015324493731927254,session_date,17
EVENT-02,30min,QQQ,long_reversal,2022,178,178,176,178,-4.9851307083509447e-05,-9.667163485924635e-05,0.004698520489108868,0.48295454545454547,4.9851307083509447e-05,9.667163485924635e-05,0.0037018071458557542,0.00291167783933675,-0.0035039022597333465,-0.0027502052719727502,-0.0008011549322585271,0.0006521476360802688,session_date,17
EVENT-02,30min,QQQ,long_reversal,2023,169,169,165,169,-3.097483577919698e-05,5.456132693137938e-05,0.003003612027825356,0.509090909090909,3.097483577919698e-05,-5.456132693137938e-05,0.0023425569881568987,0.0017082867436948,-0.002313406278491521,-0.001886637683537,-0.0005035390587042843,0.00044847052114140864,session_date,17
EVENT-02,30min,QQQ,long_reversal,2024,168,168,166,168,-0.0001393296656876145,1.4823575106903686e-05,0.0029094372062919162,0.5,0.0001393296656876145,-1.4823575106903686e-05,0.002045500822073592,0.0016015170114318002,-0.002398024210463095,-0.0018822613671641,-0.0006176180295478882,0.0002614535391561675,session_date,17
EVENT-02,30min,SPY,long_reversal,2022,185,185,183,185,3.0656539959938076e-05,0.0001995609658749,0.003693201930490557,0.5300546448087432,-3.0656539959938076e-05,-0.0001995609658749,0.002710491206234565,0.0020862049794772,-0.0026330087309329214,-0.0019258545979777,-0.0005305259856648623,0.0005338497681233334,session_date,17
EVENT-02,30min,SPY,long_reversal,2023,180,180,176,180,-8.442491674456568e-05,-8.88739065541874e-05,0.002135142574399471,0.4715909090909091,8.442491674456568e-05,8.88739065541874e-05,0.0016420784499545154,0.0012590319364673,-0.0016989128527924537,-0.00131426748369255,-0.0003711871819646657,0.00021167063838310556,session_date,17
EVENT-02,30min,SPY,long_reversal,2024,183,183,181,183,-0.0002117453441535575,3.3927632360208904e-05,0.001995641328738281,0.5193370165745856,0.0002117453441535575,-3.3927632360208904e-05,0.0012896259004737543,0.0009764994065319,-0.0015549305163233044,-0.0011103281873892,-0.0005341458972009349,7.478612682267058e-05,session_date,17
EVENT-02,5min,QQQ,long_reversal,2022,178,178,177,178,-0.00010874769953597282,-0.0002024906348081,0.002119113552203736,0.4463276836158192,0.00010874769953597282,0.0002024906348081,0.0014951958615447404,0.0011908198614318,-0.0015939883825100134,-0.0013203613620569,-0.00041002564071963566,0.00017762593742846235,session_date,17
EVENT-02,5min,QQQ,long_reversal,2023,169,169,169,169,4.156085233779847e-05,-9.714632665458468e-05,0.0012910905084261351,0.47928994082840237,-4.156085233779847e-05,9.714632665458468e-05,0.0009758661593983823,0.0007823792284946,-0.0010374678436487399,-0.000860962399424,-0.0001560404794722038,0.0002577866267916425,session_date,17
EVENT-02,5min,QQQ,long_reversal,2024,168,168,167,168,-1.8916587430524857e-05,0.0001750700280112,0.0013870552757023395,0.5449101796407185,1.8916587430524857e-05,-0.0001750700280112,0.0009439061289859507,0.0007998400319937,-0.0010473599627859366,-0.0006852287521984,-0.00021777783569701132,0.00017476492284156748,session_date,17
EVENT-02,5min,SPY,long_reversal,2022,185,185,185,185,-5.258055858743099e-05,5.6362796045483776e-05,0.001502062453268622,0.518918918918919,5.258055858743099e-05,-5.6362796045483776e-05,0.001071534482022227,0.0008989640981977,-0.0011274196924212414,-0.0008578352527397,-0.0002492447495958379,0.00018819549328791363,session_date,17
EVENT-02,5min,SPY,long_reversal,2023,180,180,178,180,1.4455612856032448e-06,4.445481723514e-06,0.0009677277899567785,0.5,-1.4455612856032448e-06,-4.445481723514e-06,0.0007220464998087219,0.00056009675074625,-0.0007923375460989844,-0.0006212754658637999,-0.00014179555452108693,0.00014205222229765694,session_date,17
EVENT-02,5min,SPY,long_reversal,2024,183,183,183,183,-1.2554102432611198e-05,5.4917897742923216e-05,0.0008689577686986966,0.546448087431694,1.2554102432611198e-05,-5.4917897742923216e-05,0.0005951997517944244,0.0005023412691291,-0.0006453281913709654,-0.0004132963334712,-0.00013761371491461188,9.927977517983133e-05,session_date,17
EVENT-02,60min,QQQ,long_reversal,2022,178,178,175,178,0.0003331836560723285,2.795951462286617e-05,0.00646318042393738,0.5028571428571429,-0.0003331836560723285,-2.795951462286617e-05,0.005256890870217731,0.0039837777698021,-0.004775286387506818,-0.0039543901408992,-0.000731159694405308,0.001250356460666033,session_date,17
EVENT-02,60min,QQQ,long_reversal,2023,169,169,162,169,-9.920248151876936e-05,0.00023078734010475,0.0040214485173969685,0.5123456790123457,9.920248151876936e-05,-0.00023078734010475,0.0030685746730421608,0.0025887334754044,-0.0031615264488617273,-0.00250203258969665,-0.0007177587878854697,0.00048581035379208985,session_date,17
