event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-02,30min,SPY,long_reversal,2022,185,185,183,185,3.0656539959940034e-05,0.0001995609658749231,0.0036932019304905905,0.5300546448087432,-3.0656539959940034e-05,-0.0001995609658749231,0.0027104912062346177,0.002086204979477202,-0.0026330087309329683,-0.001925854597977783,-0.000530525985664868,0.000533849768123343,session_date,17
EVENT-02,30min,SPY,long_reversal,2023,180,180,176,180,-8.442491674456624e-05,-8.88739065542099e-05,0.002135142574399505,0.4715909090909091,8.442491674456624e-05,8.88739065542099e-05,0.0016420784499545636,0.0012590319364673697,-0.0016989128527925045,-0.001314267483692566,-0.0003711871819646734,0.0002116706383831064,session_date,17
EVENT-02,30min,SPY,long_reversal,2024,183,183,181,183,-0.000211745344153556,3.3927632360208904e-05,0.0019956413287383207,0.5193370165745856,0.000211745344153556,-3.3927632360208904e-05,0.0012896259004738007,0.0009764994065319943,-0.0015549305163233486,-0.001110328187389209,-0.0005341458972009422,7.478612682267874e-05,session_date,17
EVENT-02,5min,QQQ,long_reversal,2022,178,178,177,178,-0.0001087476995359744,-0.0002024906348081501,0.002119113552203772,0.4463276836158192,0.0001087476995359744,0.0002024906348081501,0.0014951958615447877,0.00119081986143188,-0.001593988382510058,-0.0013203613620569321,-0.0004100256407196446,0.00017762593742846802,session_date,17
EVENT-02,5min,QQQ,long_reversal,2023,169,169,169,169,4.1560852337796644e-05,-9.714632665458467e-05,0.0012910905084261724,0.47928994082840237,-4.1560852337796644e-05,9.714632665458467e-05,0.0009758661593984239,0.0007823792284946673,-0.0010374678436487852,-0.0008609623994240145,-0.00015604047947221202,0.00025778662679164764,session_date,17
EVENT-02,5min,QQQ,long_reversal,2024,168,168,167,168,-1.8916587430520286e-05,0.00017507002801120386,0.0013870552757023738,0.5449101796407185,1.8916587430520286e-05,-0.00017507002801120386,0.0009439061289859935,0.0007998400319937371,-0.0010473599627859832,-0.0006852287521984524,-0.00021777783569701224,0.00017476492284157372,session_date,17
EVENT-02,5min,SPY,long_reversal,2022,185,185,185,185,-5.258055858742853e-05,5.6362796045483776e-05,0.0015020624532686567,0.518918918918919,5.258055858742853e-05,-5.6362796045483776e-05,0.0010715344820222755,0.0008989640981977853,-0.0011274196924212871,-0.000857835252739747,-0.0002492447495958377,0.00018819549328792228,session_date,17
EVENT-02,5min,SPY,long_reversal,2023,180,180,178,180,1.4455612856035568e-06,4.445481723514e-06,0.0009677277899568182,0.5,-1.4455612856035568e-06,-4.445481723514e-06,0.0007220464998087654,0.0005600967507463084,-0.0007923375460990305,-0.0006212754658638242,-0.00014179555452109,0.0001420522222976657,session_date,17
EVENT-02,5min,SPY,long_reversal,2024,183,183,183,183,-1.2554102432609226e-05,5.4917897742923216e-05,0.0008689577686987321,0.546448087431694,1.2554102432609226e-05,-5.4917897742923216e-05,0.0005951997517944677,0.0005023412691291806,-0.0006453281913710061,-0.00041329633347120254,-0.00013761371491461327,9.927977517983685e-05,session_date,17
EVENT-02,60min,QQQ,long_reversal,2022,178,178,175,178,0.00033318365607232957,2.7959514622866166e-05,0.006463180423937415,0.5028571428571429,-0.00033318365607232957,-2.7959514622866166e-05,0.005256890870217778,0.003983777769802188,-0.00477528638750687,-0.0039543901408992665,-0.000731159694405313,0.0012503564606660392,session_date,17
EVENT-02,60min,QQQ,long_reversal,2023,169,169,162,169,-9.920248151876781e-05,0.00023078734010484325,0.004021448517397005,0.5123456790123457,9.920248151876781e-05,-0.00023078734010484325,0.0030685746730422098,0.0025887334754044478,-0.0031615264488617737,-0.0025020325896966678,-0.0007177587878854731,0.00048581035379209673,session_date,17
EVENT-02,60min,QQQ,long_reversal,2024,168,168,165,168,-0.00026569111419008623,0.00041799880248993837,0.004061830127916866,0.5333333333333333,0.00026569111419008623,-0.00041799880248993837,0.0026612186783199856,0.0021159630743698976,-0.0032492481365662368,-0.002398192132085142,-0.0008945060907895722,0.000295733503178108,session_date,17
EVENT-02,60min,SPY,long_reversal,2022,185,185,182,185,0.0001303757218239041,-0.0003082715040130246,0.004727862259361923,0.45604395604395603,-0.0001303757218239041,0.0003082715040130246,0.0036597584214439994,0.0028614972647643677,-0.00358078990747747,-0.0029817971565983536,-0.0005873253178307405,0.000808142993396601,session_date,17
