event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-05,session_close,QQQ,long_reversal,2024,-0.0002255423268651448,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,SPY,long_reversal,2022,0.0012609258761033264,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,SPY,long_reversal,2023,0.0004446499649763477,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,SPY,long_reversal,2024,0.0006472629218643296,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,QQQ,short_reversal,2022,0.00045693048470614624,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,QQQ,short_reversal,2023,-8.041332782904732e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,QQQ,short_reversal,2024,-0.0002001610763839951,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,SPY,short_reversal,2022,0.00026053366312958517,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,SPY,short_reversal,2023,0.00015681566345853077,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,SPY,short_reversal,2024,-2.2575086249144664e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,QQQ,short_reversal,2022,0.0008577223829239297,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,QQQ,short_reversal,2023,-0.00043494416821943636,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,QQQ,short_reversal,2024,-0.00031707261141436434,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,SPY,short_reversal,2022,0.0004412969314527677,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,SPY,short_reversal,2023,4.8872629699352764e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,SPY,short_reversal,2024,-0.0001690665198803607,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,QQQ,short_reversal,2022,0.0003229987863926041,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,QQQ,short_reversal,2023,9.582454176417033e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,QQQ,short_reversal,2024,-5.750608853834644e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,SPY,short_reversal,2022,0.00028374140591682235,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,SPY,short_reversal,2023,0.00014092735100857564,False,False,non_strategy_event_study_no_pnl_no_cost_model
