symbol,hypothesis_id,session_date,timestamp,diagnostic,expired_sweep_time,scenario,equity_before_session
SPY,HYP-FCR-02,2023-01-26,2023-01-26T16:45:00+00:00,low_sweep_window_expired,2023-01-26T16:25:00+00:00,severe,967.7809142400184
SPY,HYP-FCR-02,2023-01-31,2023-01-31T15:30:00+00:00,low_sweep_window_expired,2023-01-31T15:10:00+00:00,severe,966.5515362400187
SPY,HYP-FCR-02,2023-02-01,2023-02-01T15:25:00+00:00,low_sweep_window_expired,2023-02-01T15:05:00+00:00,severe,966.5515362400187
SPY,HYP-FCR-02,2023-02-07,2023-02-07T15:50:00+00:00,low_sweep_window_expired,2023-02-07T15:30:00+00:00,severe,967.5396962400189
SPY,HYP-FCR-02,2023-02-10,2023-02-10T15:20:00+00:00,low_sweep_window_expired,2023-02-10T15:00:00+00:00,severe,967.918888240019
SPY,HYP-FCR-02,2023-02-10,2023-02-10T16:55:00+00:00,high_sweep_window_expired,2023-02-10T16:35:00+00:00,severe,967.918888240019
SPY,HYP-FCR-02,2023-02-10,2023-02-10T17:35:00+00:00,low_sweep_window_expired,2023-02-10T17:15:00+00:00,severe,967.918888240019
SPY,HYP-FCR-02,2023-03-13,2023-03-13T14:30:00+00:00,high_sweep_window_expired,2023-03-13T14:10:00+00:00,severe,969.1752602400207
SPY,HYP-FCR-02,2023-03-14,2023-03-14T17:10:00+00:00,high_sweep_window_expired,2023-03-14T16:50:00+00:00,severe,969.1752602400207
SPY,HYP-FCR-02,2023-03-15,2023-03-15T14:20:00+00:00,low_sweep_window_expired,2023-03-15T14:00:00+00:00,severe,969.1752602400207
SPY,HYP-FCR-02,2023-03-17,2023-03-17T14:25:00+00:00,high_sweep_window_expired,2023-03-17T14:05:00+00:00,severe,962.507246240021
SPY,HYP-FCR-02,2023-03-21,2023-03-21T14:20:00+00:00,high_sweep_window_expired,2023-03-21T14:00:00+00:00,severe,959.5169422400211
SPY,HYP-FCR-02,2023-03-27,2023-03-27T18:50:00+00:00,low_sweep_window_expired,2023-03-27T18:30:00+00:00,severe,957.5184882400215
SPY,HYP-FCR-02,2023-03-29,2023-03-29T14:25:00+00:00,high_sweep_window_expired,2023-03-29T14:05:00+00:00,severe,958.5639122400215
SPY,HYP-FCR-02,2023-03-30,2023-03-30T14:20:00+00:00,high_sweep_window_expired,2023-03-30T14:00:00+00:00,severe,958.7962026400215
SPY,HYP-FCR-02,2023-03-31,2023-03-31T14:20:00+00:00,high_sweep_window_expired,2023-03-31T14:00:00+00:00,severe,957.2321226400218
SPY,HYP-FCR-02,2023-04-05,2023-04-05T14:20:00+00:00,high_sweep_window_expired,2023-04-05T14:00:00+00:00,severe,958.8680926400218
SPY,HYP-FCR-02,2023-04-06,2023-04-06T14:55:00+00:00,high_sweep_window_expired,2023-04-06T14:35:00+00:00,severe,958.8680926400218
SPY,HYP-FCR-02,2023-04-12,2023-04-12T16:15:00+00:00,low_sweep_window_expired,2023-04-12T15:55:00+00:00,severe,955.1080226400221
SPY,HYP-FCR-02,2023-04-24,2023-04-24T14:50:00+00:00,high_sweep_window_expired,2023-04-24T14:30:00+00:00,severe,953.4967288600224
SPY,HYP-FCR-02,2023-05-16,2023-05-16T14:35:00+00:00,low_sweep_window_expired,2023-05-16T14:15:00+00:00,severe,936.6932218600241
SPY,HYP-FCR-02,2023-05-17,2023-05-17T15:35:00+00:00,high_sweep_window_expired,2023-05-17T15:15:00+00:00,severe,936.6932218600241
SPY,HYP-FCR-02,2023-05-22,2023-05-22T14:30:00+00:00,low_sweep_window_expired,2023-05-22T14:10:00+00:00,severe,938.1302240400244
SPY,HYP-FCR-02,2023-05-23,2023-05-23T14:20:00+00:00,high_sweep_window_expired,2023-05-23T14:00:00+00:00,severe,936.1077600400245
SPY,HYP-FCR-02,2023-06-02,2023-06-02T14:20:00+00:00,low_sweep_window_expired,2023-06-02T14:00:00+00:00,severe,930.2272550400247
SPY,HYP-FCR-02,2023-06-12,2023-06-12T14:30:00+00:00,low_sweep_window_expired,2023-06-12T14:10:00+00:00,severe,931.1509190400249
SPY,HYP-FCR-02,2023-06-12,2023-06-12T15:00:00+00:00,low_sweep_window_expired,2023-06-12T14:40:00+00:00,severe,931.1509190400249
SPY,HYP-FCR-02,2023-06-13,2023-06-13T14:35:00+00:00,low_sweep_window_expired,2023-06-13T14:15:00+00:00,severe,931.1509190400249
SPY,HYP-FCR-02,2023-06-26,2023-06-26T14:35:00+00:00,high_sweep_window_expired,2023-06-26T14:15:00+00:00,severe,921.1020383200257
SPY,HYP-FCR-02,2023-06-29,2023-06-29T14:40:00+00:00,high_sweep_window_expired,2023-06-29T14:20:00+00:00,severe,919.2175196000259
SPY,HYP-FCR-02,2023-07-03,2023-07-03T14:50:00+00:00,high_sweep_window_expired,2023-07-03T14:30:00+00:00,severe,914.806950100026
SPY,HYP-FCR-02,2023-07-07,2023-07-07T14:20:00+00:00,high_sweep_window_expired,2023-07-07T14:00:00+00:00,severe,915.2654492600263
SPY,HYP-FCR-02,2023-07-13,2023-07-13T15:25:00+00:00,high_sweep_window_expired,2023-07-13T15:05:00+00:00,severe,918.5153256600265
SPY,HYP-FCR-02,2023-07-14,2023-07-14T14:20:00+00:00,low_sweep_window_expired,2023-07-14T14:00:00+00:00,severe,918.5153256600265
SPY,HYP-FCR-02,2023-08-01,2023-08-01T14:25:00+00:00,high_sweep_window_expired,2023-08-01T14:05:00+00:00,severe,912.7893438400272
SPY,HYP-FCR-02,2023-08-01,2023-08-01T15:00:00+00:00,low_sweep_window_expired,2023-08-01T14:40:00+00:00,severe,912.7893438400272
SPY,HYP-FCR-02,2023-08-03,2023-08-03T14:25:00+00:00,high_sweep_window_expired,2023-08-03T14:05:00+00:00,severe,912.0756118400272
SPY,HYP-FCR-02,2023-08-24,2023-08-24T14:20:00+00:00,high_sweep_window_expired,2023-08-24T14:00:00+00:00,severe,913.2437922000286
SPY,HYP-FCR-02,2023-08-25,2023-08-25T14:35:00+00:00,high_sweep_window_expired,2023-08-25T14:15:00+00:00,severe,913.2437922000286
SPY,HYP-FCR-02,2023-08-25,2023-08-25T18:20:00+00:00,low_sweep_window_expired,2023-08-25T18:00:00+00:00,severe,913.2437922000286
SPY,HYP-FCR-02,2023-10-02,2023-10-02T14:45:00+00:00,high_sweep_window_expired,2023-10-02T14:25:00+00:00,severe,895.56369276003
SPY,HYP-FCR-02,2023-10-02,2023-10-02T15:15:00+00:00,low_sweep_window_expired,2023-10-02T14:55:00+00:00,severe,895.56369276003
SPY,HYP-FCR-02,2023-10-18,2023-10-18T14:20:00+00:00,low_sweep_window_expired,2023-10-18T14:00:00+00:00,severe,900.9454506800305
SPY,HYP-FCR-02,2023-10-18,2023-10-18T14:45:00+00:00,high_sweep_window_expired,2023-10-18T14:25:00+00:00,severe,900.9454506800305
SPY,HYP-FCR-02,2023-10-27,2023-10-27T14:20:00+00:00,low_sweep_window_expired,2023-10-27T14:00:00+00:00,severe,895.0524002800308
SPY,HYP-FCR-02,2023-11-06,2023-11-06T15:35:00+00:00,low_sweep_window_expired,2023-11-06T15:15:00+00:00,severe,890.1753762800315
SPY,HYP-FCR-02,2023-11-17,2023-11-17T16:25:00+00:00,low_sweep_window_expired,2023-11-17T16:05:00+00:00,severe,888.5581452800319
SPY,HYP-FCR-02,2023-11-20,2023-11-20T15:30:00+00:00,high_sweep_window_expired,2023-11-20T15:10:00+00:00,severe,887.717914280032
SPY,HYP-FCR-02,2023-11-21,2023-11-21T17:10:00+00:00,low_sweep_window_expired,2023-11-21T16:50:00+00:00,severe,887.717914280032
SPY,HYP-FCR-02,2023-11-27,2023-11-27T17:25:00+00:00,high_sweep_window_expired,2023-11-27T17:05:00+00:00,severe,886.4296611000323
SPY,HYP-FCR-02,2023-11-27,2023-11-27T19:20:00+00:00,high_sweep_window_expired,2023-11-27T19:00:00+00:00,severe,886.4296611000323
SPY,HYP-FCR-02,2023-12-01,2023-12-01T16:20:00+00:00,low_sweep_window_expired,2023-12-01T16:00:00+00:00,severe,884.6866646000325
SPY,HYP-FCR-02,2023-12-04,2023-12-04T17:10:00+00:00,low_sweep_window_expired,2023-12-04T16:50:00+00:00,severe,884.6866646000325
SPY,HYP-FCR-02,2023-12-21,2023-12-21T15:45:00+00:00,low_sweep_window_expired,2023-12-21T15:25:00+00:00,severe,879.656803130033
SPY,HYP-FCR-02,2023-12-21,2023-12-21T15:45:00+00:00,high_sweep_window_expired,2023-12-21T15:25:00+00:00,severe,879.656803130033
SPY,HYP-FCR-02,2023-12-21,2023-12-21T16:40:00+00:00,low_sweep_window_expired,2023-12-21T16:20:00+00:00,severe,879.656803130033
SPY,HYP-FCR-02,2023-12-22,2023-12-22T16:25:00+00:00,low_sweep_window_expired,2023-12-22T16:05:00+00:00,severe,880.0734291300331
SPY,HYP-FCR-02,2024-01-03,2024-01-03T15:25:00+00:00,high_sweep_window_expired,2024-01-03T15:05:00+00:00,severe,877.0687732800336
SPY,HYP-FCR-02,2024-01-03,2024-01-03T17:55:00+00:00,low_sweep_window_expired,2024-01-03T17:35:00+00:00,severe,877.0687732800336
SPY,HYP-FCR-02,2024-01-03,2024-01-03T18:35:00+00:00,high_sweep_window_expired,2024-01-03T18:15:00+00:00,severe,877.0687732800336
SPY,HYP-FCR-02,2024-01-03,2024-01-03T19:40:00+00:00,low_sweep_window_expired,2024-01-03T19:20:00+00:00,severe,877.0687732800336
SPY,HYP-FCR-02,2024-01-04,2024-01-04T18:00:00+00:00,high_sweep_window_expired,2024-01-04T17:40:00+00:00,severe,877.7472292800336
SPY,HYP-FCR-02,2024-01-04,2024-01-04T19:20:00+00:00,high_sweep_window_expired,2024-01-04T19:00:00+00:00,severe,877.7472292800336
SPY,HYP-FCR-02,2024-01-10,2024-01-10T15:25:00+00:00,low_sweep_window_expired,2024-01-10T15:05:00+00:00,severe,875.4002467800337
SPY,HYP-FCR-02,2024-01-22,2024-01-22T15:20:00+00:00,high_sweep_window_expired,2024-01-22T15:00:00+00:00,severe,872.1462757800342
SPY,HYP-FCR-02,2024-03-04,2024-03-04T16:30:00+00:00,high_sweep_window_expired,2024-03-04T16:10:00+00:00,severe,856.8141101000352
SPY,HYP-FCR-02,2024-03-05,2024-03-05T15:25:00+00:00,high_sweep_window_expired,2024-03-05T15:05:00+00:00,severe,856.8141101000352
SPY,HYP-FCR-02,2024-03-28,2024-03-28T14:20:00+00:00,high_sweep_window_expired,2024-03-28T14:00:00+00:00,severe,858.3956951900361
SPY,HYP-FCR-02,2024-03-28,2024-03-28T15:50:00+00:00,high_sweep_window_expired,2024-03-28T15:30:00+00:00,severe,858.3956951900361
SPY,HYP-FCR-02,2024-04-04,2024-04-04T14:45:00+00:00,low_sweep_window_expired,2024-04-04T14:25:00+00:00,severe,859.145057190036
SPY,HYP-FCR-02,2024-04-05,2024-04-05T14:30:00+00:00,high_sweep_window_expired,2024-04-05T14:10:00+00:00,severe,859.5435424700361
SPY,HYP-FCR-02,2024-04-10,2024-04-10T15:20:00+00:00,high_sweep_window_expired,2024-04-10T15:00:00+00:00,severe,859.5752195700361
SPY,HYP-FCR-02,2024-04-22,2024-04-22T14:25:00+00:00,high_sweep_window_expired,2024-04-22T14:05:00+00:00,severe,858.0598270700362
SPY,HYP-FCR-02,2024-04-24,2024-04-24T18:00:00+00:00,low_sweep_window_expired,2024-04-24T17:40:00+00:00,severe,859.4284687900363
SPY,HYP-FCR-02,2024-04-29,2024-04-29T15:55:00+00:00,low_sweep_window_expired,2024-04-29T15:35:00+00:00,severe,861.9679947900363
SPY,HYP-FCR-02,2024-04-30,2024-04-30T14:25:00+00:00,high_sweep_window_expired,2024-04-30T14:05:00+00:00,severe,861.1624687900363
SPY,HYP-FCR-02,2024-05-01,2024-05-01T14:45:00+00:00,low_sweep_window_expired,2024-05-01T14:25:00+00:00,severe,860.1072817900364
SPY,HYP-FCR-02,2024-05-01,2024-05-01T15:40:00+00:00,low_sweep_window_expired,2024-05-01T15:20:00+00:00,severe,860.1072817900364
SPY,HYP-FCR-02,2024-05-06,2024-05-06T15:30:00+00:00,high_sweep_window_expired,2024-05-06T15:10:00+00:00,severe,855.4945462900366
